group,period_end,value
Pennsylvania,6/9/20,33.9
Rhode Island,6/9/20,29.2
South Carolina,6/9/20,31.4
South Dakota,6/9/20,29.8
Tennessee,6/9/20,38
Texas,6/9/20,39.6
Utah,6/9/20,34.1
Vermont,6/9/20,33.7
Virginia,6/9/20,36.5
Washington,6/9/20,31.9
West Virginia,6/9/20,38.9
Wisconsin,6/9/20,28.3
Wyoming,6/9/20,29.4
Alabama,6/16/20,38.1
Alaska,6/16/20,36.5
Arizona,6/16/20,33.3
Arkansas,6/16/20,39
California,6/16/20,37.9
Colorado,6/16/20,33.5
Connecticut,6/16/20,38.7
Delaware,6/16/20,34.7
District of Columbia,6/16/20,28.9
Florida,6/16/20,41.8
Georgia,6/16/20,37.1
Hawaii,6/16/20,35.3
Idaho,6/16/20,27.8
Illinois,6/16/20,34.6
Indiana,6/16/20,39.3
Iowa,6/16/20,31.6
Kansas,6/16/20,37.1
Kentucky,6/16/20,31.9
Louisiana,6/16/20,43.5
Maine,6/16/20,37.9
Maryland,6/16/20,38.3
Massachusetts,6/16/20,29.2
Michigan,6/16/20,32.4
Minnesota,6/16/20,30.5
Mississippi,6/16/20,37.5
Missouri,6/16/20,36.5
Montana,6/16/20,34.2
Nebraska,6/16/20,29.7
Nevada,6/16/20,37.9
New Hampshire,6/16/20,33.4
New Jersey,6/16/20,38.7
New Mexico,6/16/20,25.5
New York,6/16/20,32.9
North Carolina,6/16/20,36.2
North Dakota,6/16/20,33.6
Ohio,6/16/20,35.6
Oklahoma,6/16/20,34.9
Oregon,6/16/20,43.5
Pennsylvania,6/16/20,35
Rhode Island,6/16/20,32.2
South Carolina,6/16/20,35.5
South Dakota,6/16/20,28
Tennessee,6/16/20,31.7
Texas,6/16/20,39.5
Utah,6/16/20,36
Vermont,6/16/20,36.3
Virginia,6/16/20,33.9
Washington,6/16/20,34.2
West Virginia,6/16/20,32.2
Wisconsin,6/16/20,26.5
Wyoming,6/16/20,32.6
Alabama,6/23/20,38
Alaska,6/23/20,37.1
Arizona,6/23/20,40.1
Arkansas,6/23/20,38.2
California,6/23/20,39.1
Colorado,6/23/20,31.4
Connecticut,6/23/20,39.4
Delaware,6/23/20,30.9
District of Columbia,6/23/20,43.1
Florida,6/23/20,39.7
Georgia,6/23/20,36.3
Hawaii,6/23/20,29.4
Idaho,6/23/20,31.7
Illinois,6/23/20,34.2
Indiana,6/23/20,35.9
Iowa,6/23/20,37.4
Kansas,6/23/20,32.9
Kentucky,6/23/20,38.3
Louisiana,6/23/20,46.8
Maine,6/23/20,28.7
Maryland,6/23/20,33.3
Massachusetts,6/23/20,33.7
Michigan,6/23/20,31.9
Minnesota,6/23/20,30.6
Mississippi,6/23/20,37.6
Missouri,6/23/20,32.9
Montana,6/23/20,30.9
Nebraska,6/23/20,31.2
Nevada,6/23/20,45.6
New Hampshire,6/23/20,34.4
New Jersey,6/23/20,34.1
New Mexico,6/23/20,42.5
New York,6/23/20,32.9
North Carolina,6/23/20,34.1
North Dakota,6/23/20,33
Ohio,6/23/20,31.6
Oklahoma,6/23/20,44.5
Oregon,6/23/20,42.4
Pennsylvania,6/23/20,39.8
Rhode Island,6/23/20,32.9
South Carolina,6/23/20,34.4
South Dakota,6/23/20,31
Tennessee,6/23/20,36.6
Texas,6/23/20,36.2
Utah,6/23/20,37.2
Vermont,6/23/20,27.9
Virginia,6/23/20,36.9
Washington,6/23/20,34.7
West Virginia,6/23/20,38.4
Wisconsin,6/23/20,24.6
Wyoming,6/23/20,28.4
Alabama,6/30/20,35.9
Alaska,6/30/20,35.3
Arizona,6/30/20,44.1
Arkansas,6/30/20,37.4
California,6/30/20,38.1
Colorado,6/30/20,37.3
Connecticut,6/30/20,35.3
Delaware,6/30/20,33.2
District of Columbia,6/30/20,39.4
Florida,6/30/20,43.8
Georgia,6/30/20,40.9
Hawaii,6/30/20,38.3
Idaho,6/30/20,40.7
Illinois,6/30/20,39.6
Indiana,6/30/20,38.1
Iowa,6/30/20,34.3
Kansas,6/30/20,31.4
Kentucky,6/30/20,38.5
Louisiana,6/30/20,44.9
Maine,6/30/20,35.6
Maryland,6/30/20,33.6
Massachusetts,6/30/20,34.5
Michigan,6/30/20,34.8
Minnesota,6/30/20,29.9
Mississippi,6/30/20,42.1
Missouri,6/30/20,35.8
Montana,6/30/20,30.6
Nebraska,6/30/20,30.5
Nevada,6/30/20,39.1
New Hampshire,6/30/20,32.4
New Jersey,6/30/20,33.9
New Mexico,6/30/20,39.1
New York,6/30/20,34.3
North Carolina,6/30/20,33.4
North Dakota,6/30/20,34
Ohio,6/30/20,34.6
Oklahoma,6/30/20,43
Oregon,6/30/20,38.9
Pennsylvania,6/30/20,37.5
Rhode Island,6/30/20,35.2
South Carolina,6/30/20,39.4
South Dakota,6/30/20,35
Tennessee,6/30/20,42.4
Texas,6/30/20,40.7
Utah,6/30/20,36.7
Vermont,6/30/20,32.8
Virginia,6/30/20,33.1
Washington,6/30/20,42
West Virginia,6/30/20,45.1
Wisconsin,6/30/20,29.2
Wyoming,6/30/20,34.2
Alabama,7/7/20,39.6
Alaska,7/7/20,32.9
Arizona,7/7/20,42.4
Arkansas,7/7/20,41.2
California,7/7/20,39.4
Colorado,7/7/20,42.4
Connecticut,7/7/20,39
Delaware,7/7/20,31.5
District of Columbia,7/7/20,37.8
Florida,7/7/20,42
Georgia,7/7/20,38
Hawaii,7/7/20,37.1
Idaho,7/7/20,37.7
Illinois,7/7/20,39.4
Indiana,7/7/20,39
Iowa,7/7/20,31.6
Kansas,7/7/20,35.8
Kentucky,7/7/20,39.9
Louisiana,7/7/20,44.8
Maine,7/7/20,36.3
Maryland,7/7/20,36.1
Massachusetts,7/7/20,33.4
Michigan,7/7/20,36.7
Minnesota,7/7/20,31.1
Mississippi,7/7/20,43.7
Missouri,7/7/20,40.6
Montana,7/7/20,34.3
Nebraska,7/7/20,30.9
Nevada,7/7/20,44.8
New Hampshire,7/7/20,35.7
New Jersey,7/7/20,38.2
New Mexico,7/7/20,43.3
New York,7/7/20,39.7
North Carolina,7/7/20,38.4
North Dakota,7/7/20,32.6
Ohio,7/7/20,34.9
Oklahoma,7/7/20,42.9
Oregon,7/7/20,39.7
Pennsylvania,7/7/20,37.2
Rhode Island,7/7/20,34.8
South Carolina,7/7/20,38.6
South Dakota,7/7/20,35.2
Tennessee,7/7/20,41.9
Texas,7/7/20,41.6
Utah,7/7/20,34.7
Vermont,7/7/20,32.2
Virginia,7/7/20,38.5
Washington,7/7/20,42
West Virginia,7/7/20,34.6
Wisconsin,7/7/20,34.1
Wyoming,7/7/20,36
Alabama,7/14/20,40.1
Alaska,7/14/20,39.6
Arizona,7/14/20,44.2
Arkansas,7/14/20,45.1
California,7/14/20,44.5
Colorado,7/14/20,39.2
Connecticut,7/14/20,35.7
Delaware,7/14/20,34.4
District of Columbia,7/14/20,28
Florida,7/14/20,43.6
Georgia,7/14/20,43.6
Hawaii,7/14/20,36.7
Idaho,7/14/20,37.3
Illinois,7/14/20,34
Indiana,7/14/20,40.7
Iowa,7/14/20,28.9
Kansas,7/14/20,35.2
Kentucky,7/14/20,42.2
Louisiana,7/14/20,45.4
Maine,7/14/20,33
Maryland,7/14/20,33.6
Massachusetts,7/14/20,38.2
Michigan,7/14/20,35.6
Minnesota,7/14/20,31.5
Mississippi,7/14/20,46.5
Missouri,7/14/20,38.7
Montana,7/14/20,40.2
Nebraska,7/14/20,34.1
Nevada,7/14/20,46.4
New Hampshire,7/14/20,35.1
New Jersey,7/14/20,42
New Mexico,7/14/20,41.7
New York,7/14/20,38.3
North Carolina,7/14/20,38.3
North Dakota,7/14/20,33.3
Ohio,7/14/20,34.8
Oklahoma,7/14/20,44.7
Oregon,7/14/20,43.9
Pennsylvania,7/14/20,40.3
Rhode Island,7/14/20,42
South Carolina,7/14/20,34.3
South Dakota,7/14/20,34.7
Tennessee,7/14/20,41.9
Texas,7/14/20,45.9
Utah,7/14/20,34.3
Vermont,7/14/20,35.4
Virginia,7/14/20,35.2
Washington,7/14/20,40.5
West Virginia,7/14/20,40.9
Wisconsin,7/14/20,36.6
Wyoming,7/14/20,33
Alabama,7/21/20,43.3
Alaska,7/21/20,38.8
Arizona,7/21/20,44.9
Arkansas,7/21/20,43.5
California,7/21/20,44.1
Colorado,7/21/20,41.5
Connecticut,7/21/20,35.1
Delaware,7/21/20,36.6
District of Columbia,7/21/20,36.1
Florida,7/21/20,40.5
Georgia,7/21/20,40
Hawaii,7/21/20,41.3
Idaho,7/21/20,45.5
Illinois,7/21/20,43.2
Indiana,7/21/20,42
Iowa,7/21/20,37.8
Kansas,7/21/20,39.9
Kentucky,7/21/20,41.7
Louisiana,7/21/20,43.1
Maine,7/21/20,37.8
Maryland,7/21/20,39.3
Massachusetts,7/21/20,35.2
Michigan,7/21/20,40.7
Minnesota,7/21/20,35.7
Mississippi,7/21/20,48
Missouri,7/21/20,37.9
Montana,7/21/20,36
Nebraska,7/21/20,37.3
Nevada,7/21/20,46.8
New Hampshire,7/21/20,40.7
New Jersey,7/21/20,37.6
New Mexico,7/21/20,47.5
New York,7/21/20,41.1
North Carolina,7/21/20,39.5
North Dakota,7/21/20,33.8
Ohio,7/21/20,37.1
Oklahoma,7/21/20,44.1
