group,period_end,value
Montana,6/9/20,17.5
Nebraska,6/9/20,21.7
Nevada,6/9/20,27.6
New Hampshire,6/9/20,26.2
New Jersey,6/9/20,21.8
New Mexico,6/9/20,23.7
New York,6/9/20,28.5
North Carolina,6/9/20,21.6
North Dakota,6/9/20,14.7
Ohio,6/9/20,26.4
Oklahoma,6/9/20,24.7
Oregon,6/9/20,27.1
Pennsylvania,6/9/20,24.7
Rhode Island,6/9/20,19
South Carolina,6/9/20,25
South Dakota,6/9/20,21.2
Tennessee,6/9/20,27.2
Texas,6/9/20,30.3
Utah,6/9/20,25.3
Vermont,6/9/20,25.1
Virginia,6/9/20,27.5
Washington,6/9/20,21.4
West Virginia,6/9/20,27.9
Wisconsin,6/9/20,19.5
Wyoming,6/9/20,20.9
Alabama,6/16/20,26.7
Alaska,6/16/20,23.5
Arizona,6/16/20,25
Arkansas,6/16/20,29.6
California,6/16/20,27.2
Colorado,6/16/20,22.1
Connecticut,6/16/20,25.5
Delaware,6/16/20,24.4
District of Columbia,6/16/20,16.3
Florida,6/16/20,28.1
Georgia,6/16/20,25.7
Hawaii,6/16/20,26.8
Idaho,6/16/20,14.3
Illinois,6/16/20,24.8
Indiana,6/16/20,26.6
Iowa,6/16/20,22.4
Kansas,6/16/20,24.6
Kentucky,6/16/20,22.6
Louisiana,6/16/20,34.5
Maine,6/16/20,23.7
Maryland,6/16/20,27.9
Massachusetts,6/16/20,17
Michigan,6/16/20,21.4
Minnesota,6/16/20,19.9
Mississippi,6/16/20,24.8
Missouri,6/16/20,26.1
Montana,6/16/20,21.8
Nebraska,6/16/20,20.3
Nevada,6/16/20,30.4
New Hampshire,6/16/20,21.7
New Jersey,6/16/20,26.9
New Mexico,6/16/20,18.8
New York,6/16/20,23.4
North Carolina,6/16/20,23.9
North Dakota,6/16/20,23.4
Ohio,6/16/20,26.8
Oklahoma,6/16/20,22.5
Oregon,6/16/20,31.1
Pennsylvania,6/16/20,25.5
Rhode Island,6/16/20,24.1
South Carolina,6/16/20,28.1
South Dakota,6/16/20,19.2
Tennessee,6/16/20,21.5
Texas,6/16/20,27.6
Utah,6/16/20,18.5
Vermont,6/16/20,26.2
Virginia,6/16/20,23.3
Washington,6/16/20,22.5
West Virginia,6/16/20,23.5
Wisconsin,6/16/20,17.5
Wyoming,6/16/20,18.9
Alabama,6/23/20,27.5
Alaska,6/23/20,25.7
Arizona,6/23/20,28.9
Arkansas,6/23/20,28.7
California,6/23/20,26.4
Colorado,6/23/20,23
Connecticut,6/23/20,28.7
Delaware,6/23/20,22.9
District of Columbia,6/23/20,31
Florida,6/23/20,28.8
Georgia,6/23/20,27.9
Hawaii,6/23/20,18.3
Idaho,6/23/20,23
Illinois,6/23/20,23.8
Indiana,6/23/20,23.7
Iowa,6/23/20,26.1
Kansas,6/23/20,24.4
Kentucky,6/23/20,29
Louisiana,6/23/20,35.6
Maine,6/23/20,19
Maryland,6/23/20,22
Massachusetts,6/23/20,22.8
Michigan,6/23/20,23.3
Minnesota,6/23/20,21.5
Mississippi,6/23/20,29.3
Missouri,6/23/20,25
Montana,6/23/20,21.6
Nebraska,6/23/20,22.1
Nevada,6/23/20,32.5
New Hampshire,6/23/20,23
New Jersey,6/23/20,24.4
New Mexico,6/23/20,29.4
New York,6/23/20,24.2
North Carolina,6/23/20,22.5
North Dakota,6/23/20,25.1
Ohio,6/23/20,21.5
Oklahoma,6/23/20,33.2
Oregon,6/23/20,31
Pennsylvania,6/23/20,27.3
Rhode Island,6/23/20,22.1
South Carolina,6/23/20,22.4
South Dakota,6/23/20,21.7
Tennessee,6/23/20,26.8
Texas,6/23/20,25.6
Utah,6/23/20,27.3
Vermont,6/23/20,18.4
Virginia,6/23/20,26.9
Washington,6/23/20,26.4
West Virginia,6/23/20,30.2
Wisconsin,6/23/20,15.7
Wyoming,6/23/20,17.6
Alabama,6/30/20,26.5
Alaska,6/30/20,23.8
Arizona,6/30/20,32.7
Arkansas,6/30/20,29.6
California,6/30/20,27.6
Colorado,6/30/20,26.1
Connecticut,6/30/20,24
Delaware,6/30/20,25.4
District of Columbia,6/30/20,27.6
Florida,6/30/20,31.8
Georgia,6/30/20,31.4
Hawaii,6/30/20,28.2
Idaho,6/30/20,29.5
Illinois,6/30/20,28.1
Indiana,6/30/20,26.2
Iowa,6/30/20,23.1
Kansas,6/30/20,20.9
Kentucky,6/30/20,26.4
Louisiana,6/30/20,32.2
Maine,6/30/20,23.8
Maryland,6/30/20,22.1
Massachusetts,6/30/20,24.2
Michigan,6/30/20,23.5
Minnesota,6/30/20,22.3
Mississippi,6/30/20,34.4
Missouri,6/30/20,25.6
Montana,6/30/20,22.2
Nebraska,6/30/20,22
Nevada,6/30/20,26.8
New Hampshire,6/30/20,24.3
New Jersey,6/30/20,24.2
New Mexico,6/30/20,29.7
New York,6/30/20,23.9
North Carolina,6/30/20,22.7
North Dakota,6/30/20,25
Ohio,6/30/20,23.3
Oklahoma,6/30/20,32.8
Oregon,6/30/20,27.1
Pennsylvania,6/30/20,26.5
Rhode Island,6/30/20,24
South Carolina,6/30/20,28.9
South Dakota,6/30/20,25.1
Tennessee,6/30/20,30.5
Texas,6/30/20,28.2
Utah,6/30/20,26
Vermont,6/30/20,22.3
Virginia,6/30/20,24.2
Washington,6/30/20,31.1
West Virginia,6/30/20,34.5
Wisconsin,6/30/20,19
Wyoming,6/30/20,23.4
Alabama,7/7/20,28.6
Alaska,7/7/20,21.5
Arizona,7/7/20,31.3
Arkansas,7/7/20,30.2
California,7/7/20,27.6
Colorado,7/7/20,30
Connecticut,7/7/20,26.3
Delaware,7/7/20,22.7
District of Columbia,7/7/20,24.9
Florida,7/7/20,27.9
Georgia,7/7/20,27.1
Hawaii,7/7/20,28.9
Idaho,7/7/20,25.6
Illinois,7/7/20,27.6
Indiana,7/7/20,27.7
Iowa,7/7/20,17.5
Kansas,7/7/20,21.5
Kentucky,7/7/20,27.4
Louisiana,7/7/20,33.5
Maine,7/7/20,26.6
Maryland,7/7/20,22.5
Massachusetts,7/7/20,21.8
Michigan,7/7/20,26.6
Minnesota,7/7/20,20.9
Mississippi,7/7/20,32
Missouri,7/7/20,28.8
Montana,7/7/20,23.8
