group,period_end,value
California,6/16/20,33.7
Colorado,6/16/20,29.8
Connecticut,6/16/20,35.1
Delaware,6/16/20,30.2
District of Columbia,6/16/20,25.9
Florida,6/16/20,37.4
Georgia,6/16/20,33.3
Hawaii,6/16/20,31.7
Idaho,6/16/20,26
Illinois,6/16/20,31
Indiana,6/16/20,33.8
Iowa,6/16/20,26.1
Kansas,6/16/20,30.5
Kentucky,6/16/20,26.6
Louisiana,6/16/20,38.4
Maine,6/16/20,32.2
Maryland,6/16/20,34.6
Massachusetts,6/16/20,27.3
Michigan,6/16/20,30.2
Minnesota,6/16/20,28
Mississippi,6/16/20,31.6
Missouri,6/16/20,33.3
Montana,6/16/20,30.6
Nebraska,6/16/20,24.1
Nevada,6/16/20,33.5
New Hampshire,6/16/20,28.1
New Jersey,6/16/20,33.5
New Mexico,6/16/20,22.7
New York,6/16/20,28.7
North Carolina,6/16/20,30
North Dakota,6/16/20,30.3
Ohio,6/16/20,31.5
Oklahoma,6/16/20,30.9
Oregon,6/16/20,39.8
Pennsylvania,6/16/20,28.4
Rhode Island,6/16/20,25.5
South Carolina,6/16/20,30.6
South Dakota,6/16/20,24.5
Tennessee,6/16/20,28.7
Texas,6/16/20,35.5
Utah,6/16/20,32
Vermont,6/16/20,33
Virginia,6/16/20,30.1
Washington,6/16/20,29.3
West Virginia,6/16/20,26.7
Wisconsin,6/16/20,23.5
Wyoming,6/16/20,24.2
Alabama,6/23/20,33.7
Alaska,6/23/20,31.8
Arizona,6/23/20,34.7
Arkansas,6/23/20,32.7
California,6/23/20,34.4
Colorado,6/23/20,26.7
Connecticut,6/23/20,34.5
Delaware,6/23/20,23.6
District of Columbia,6/23/20,39.6
Florida,6/23/20,33.3
Georgia,6/23/20,32.6
Hawaii,6/23/20,22.9
Idaho,6/23/20,28.3
Illinois,6/23/20,30.6
Indiana,6/23/20,30.6
Iowa,6/23/20,32.4
Kansas,6/23/20,29.4
Kentucky,6/23/20,33.2
Louisiana,6/23/20,41.3
Maine,6/23/20,24.1
Maryland,6/23/20,30.1
Massachusetts,6/23/20,27.9
Michigan,6/23/20,27.4
Minnesota,6/23/20,25
Mississippi,6/23/20,31.8
Missouri,6/23/20,28.3
Montana,6/23/20,27.8
Nebraska,6/23/20,25
Nevada,6/23/20,38.4
New Hampshire,6/23/20,31.2
New Jersey,6/23/20,30.8
New Mexico,6/23/20,39
New York,6/23/20,26.9
North Carolina,6/23/20,29.1
North Dakota,6/23/20,28.7
Ohio,6/23/20,27.7
Oklahoma,6/23/20,39
Oregon,6/23/20,37.1
Pennsylvania,6/23/20,32.7
Rhode Island,6/23/20,28.2
South Carolina,6/23/20,31.4
South Dakota,6/23/20,24.2
Tennessee,6/23/20,30.8
Texas,6/23/20,32.1
Utah,6/23/20,33.3
Vermont,6/23/20,25
Virginia,6/23/20,31.9
Washington,6/23/20,30.5
West Virginia,6/23/20,34.7
Wisconsin,6/23/20,21.3
Wyoming,6/23/20,23.7
Alabama,6/30/20,28.7
Alaska,6/30/20,32.5
Arizona,6/30/20,39.7
Arkansas,6/30/20,33.5
California,6/30/20,32.2
Colorado,6/30/20,33
Connecticut,6/30/20,32.5
Delaware,6/30/20,27.4
District of Columbia,6/30/20,29.6
Florida,6/30/20,37.7
Georgia,6/30/20,36.8
Hawaii,6/30/20,31.5
Idaho,6/30/20,32.9
Illinois,6/30/20,33.7
Indiana,6/30/20,34.7
Iowa,6/30/20,31.5
Kansas,6/30/20,28
Kentucky,6/30/20,33.9
Louisiana,6/30/20,40.5
Maine,6/30/20,32
Maryland,6/30/20,29.5
Massachusetts,6/30/20,28.7
Michigan,6/30/20,29.7
Minnesota,6/30/20,25.1
Mississippi,6/30/20,36.5
Missouri,6/30/20,32.2
Montana,6/30/20,25.7
Nebraska,6/30/20,27.8
Nevada,6/30/20,35
New Hampshire,6/30/20,27.5
New Jersey,6/30/20,30.2
New Mexico,6/30/20,32.2
New York,6/30/20,30.6
North Carolina,6/30/20,30.4
North Dakota,6/30/20,29.4
Ohio,6/30/20,28.8
Oklahoma,6/30/20,36.5
Oregon,6/30/20,34.1
Pennsylvania,6/30/20,33.4
Rhode Island,6/30/20,28.9
South Carolina,6/30/20,35
South Dakota,6/30/20,31.4
Tennessee,6/30/20,37.6
Texas,6/30/20,35.9
Utah,6/30/20,33
Vermont,6/30/20,29.7
Virginia,6/30/20,29.3
Washington,6/30/20,37
West Virginia,6/30/20,40.5
Wisconsin,6/30/20,25.5
Wyoming,6/30/20,31.6
Alabama,7/7/20,34.4
Alaska,7/7/20,27.3
Arizona,7/7/20,36.6
Arkansas,7/7/20,34.7
California,7/7/20,32.9
Colorado,7/7/20,35.4
Connecticut,7/7/20,33.6
Delaware,7/7/20,27.3
District of Columbia,7/7/20,35.2
Florida,7/7/20,37.8
Georgia,7/7/20,32.5
Hawaii,7/7/20,34.2
Idaho,7/7/20,32.7
Illinois,7/7/20,35.1
Indiana,7/7/20,34.8
Iowa,7/7/20,29.6
Kansas,7/7/20,32.3
Kentucky,7/7/20,36.3
Louisiana,7/7/20,38.6
Maine,7/7/20,32.8
Maryland,7/7/20,32.2
Massachusetts,7/7/20,30.1
Michigan,7/7/20,31.1
Minnesota,7/7/20,27.6
Mississippi,7/7/20,40.2
Missouri,7/7/20,35.3
Montana,7/7/20,31.7
Nebraska,7/7/20,25.7
Nevada,7/7/20,40.6
New Hampshire,7/7/20,32.5
New Jersey,7/7/20,33.6
New Mexico,7/7/20,38.1
New York,7/7/20,34.7
North Carolina,7/7/20,33.4
North Dakota,7/7/20,29.1
Ohio,7/7/20,31.9
Oklahoma,7/7/20,39.4
Oregon,7/7/20,35.4
Pennsylvania,7/7/20,33.2
Rhode Island,7/7/20,31.4
South Carolina,7/7/20,31.4
South Dakota,7/7/20,31.3
Tennessee,7/7/20,34.6
Texas,7/7/20,36.1
Utah,7/7/20,29.1
Vermont,7/7/20,29.2
Virginia,7/7/20,29.5
Washington,7/7/20,37.5
West Virginia,7/7/20,31.9
Wisconsin,7/7/20,30.7
Wyoming,7/7/20,31.5
Alabama,7/14/20,34.9
Alaska,7/14/20,35.1
Arizona,7/14/20,39.9
Arkansas,7/14/20,40
California,7/14/20,39.1
Colorado,7/14/20,35.2
Connecticut,7/14/20,31
Delaware,7/14/20,31
District of Columbia,7/14/20,23.8
Florida,7/14/20,39
Georgia,7/14/20,37.1
Hawaii,7/14/20,31.4
Idaho,7/14/20,32.4
Illinois,7/14/20,28.9
Indiana,7/14/20,36.8
Iowa,7/14/20,25.2
Kansas,7/14/20,28.8
Kentucky,7/14/20,37.8
Louisiana,7/14/20,40.6
Maine,7/14/20,26.9
Maryland,7/14/20,29.9
Massachusetts,7/14/20,34.2
Michigan,7/14/20,31.7
Minnesota,7/14/20,27.5
Mississippi,7/14/20,38
Missouri,7/14/20,35.3
Montana,7/14/20,35.6
Nebraska,7/14/20,31.3
Nevada,7/14/20,42.8
New Hampshire,7/14/20,28.9
New Jersey,7/14/20,37.1
New Mexico,7/14/20,38.6
New York,7/14/20,34.2
North Carolina,7/14/20,34
North Dakota,7/14/20,30.5
Ohio,7/14/20,31.7
Oklahoma,7/14/20,40.1
Oregon,7/14/20,38.6
Pennsylvania,7/14/20,34.2
Rhode Island,7/14/20,36.5
South Carolina,7/14/20,30.7
South Dakota,7/14/20,32.6
Tennessee,7/14/20,38.2
Texas,7/14/20,40.6
Utah,7/14/20,29.5
Vermont,7/14/20,33.4
Virginia,7/14/20,32.6
Washington,7/14/20,35.7
West Virginia,7/14/20,36.1
Wisconsin,7/14/20,31.1
Wyoming,7/14/20,29.4
Alabama,7/21/20,39.9
Alaska,7/21/20,33.8
Arizona,7/21/20,41.3
Arkansas,7/21/20,36.8
California,7/21/20,38.9
Colorado,7/21/20,38
Connecticut,7/21/20,30.4
Delaware,7/21/20,29
District of Columbia,7/21/20,33.9
Florida,7/21/20,35.1
Georgia,7/21/20,35.5
Hawaii,7/21/20,37.2
Idaho,7/21/20,37.3
Illinois,7/21/20,38
Indiana,7/21/20,36.8
Iowa,7/21/20,31.3
Kansas,7/21/20,34.8
Kentucky,7/21/20,35.9
Louisiana,7/21/20,38.5
Maine,7/21/20,35.7
Maryland,7/21/20,33.2
Massachusetts,7/21/20,31.1
Michigan,7/21/20,36.3
Minnesota,7/21/20,32.2
Mississippi,7/21/20,38.6
Missouri,7/21/20,34.9
Montana,7/21/20,27.5
Nebraska,7/21/20,30
Nevada,7/21/20,43.7
New Hampshire,7/21/20,34
New Jersey,7/21/20,34.2
New Mexico,7/21/20,44.7
New York,7/21/20,36.2
North Carolina,7/21/20,33.1
North Dakota,7/21/20,30.3
Ohio,7/21/20,32.8
Oklahoma,7/21/20,39.6
Oregon,7/21/20,45.4
Pennsylvania,7/21/20,29.2
Rhode Island,7/21/20,41.8
South Carolina,7/21/20,35.7
South Dakota,7/21/20,27.6
Tennessee,7/21/20,40.1
Texas,7/21/20,38.4
Utah,7/21/20,34.6
Vermont,7/21/20,29.2
Virginia,7/21/20,34.2
Washington,7/21/20,37.1
West Virginia,7/21/20,31.1
Wisconsin,7/21/20,29.9
Wyoming,7/21/20,38.8
Alabama,8/31/20,30.6
Alaska,8/31/20,30.5
Arizona,8/31/20,30.4
Arkansas,8/31/20,30.5
California,8/31/20,32.4
Colorado,8/31/20,32.6
Connecticut,8/31/20,33.9
Delaware,8/31/20,24.6
District of Columbia,8/31/20,30.6
Florida,8/31/20,33.7
Georgia,8/31/20,31.3
Hawaii,8/31/20,35.4
Idaho,8/31/20,28.7
Illinois,8/31/20,33.7
Indiana,8/31/20,32
Iowa,8/31/20,28
Kansas,8/31/20,32
Kentucky,8/31/20,34.6
Louisiana,8/31/20,37.1
Maine,8/31/20,34.9
Maryland,8/31/20,30.9
Massachusetts,8/31/20,31.5
Michigan,8/31/20,30.6
Minnesota,8/31/20,28.6
Mississippi,8/31/20,27.7
Missouri,8/31/20,27.8
Montana,8/31/20,27.9
Nebraska,8/31/20,28
Nevada,8/31/20,35.2
New Hampshire,8/31/20,28.4
New Jersey,8/31/20,33.3
New Mexico,8/31/20,35.2
New York,8/31/20,29.9
North Carolina,8/31/20,28.4
North Dakota,8/31/20,26.4
Ohio,8/31/20,31.7
Oklahoma,8/31/20,34
Oregon,8/31/20,34.8
Pennsylvania,8/31/20,31
Rhode Island,8/31/20,29.9
South Carolina,8/31/20,24.5
South Dakota,8/31/20,20.9
Tennessee,8/31/20,34.8
Texas,8/31/20,31.1
Utah,8/31/20,30.4
Vermont,8/31/20,28
Virginia,8/31/20,30.5
Washington,8/31/20,32.7
West Virginia,8/31/20,29
Wisconsin,8/31/20,25.2
Wyoming,8/31/20,32.8
Alabama,9/14/20,33.7
Alaska,9/14/20,28.4
Arizona,9/14/20,33.4
Arkansas,9/14/20,36
California,9/14/20,34.2
Colorado,9/14/20,33.4
Connecticut,9/14/20,33.1
Delaware,9/14/20,29.8
District of Columbia,9/14/20,33.3
Florida,9/14/20,31.3
Georgia,9/14/20,31.1
Hawaii,9/14/20,34.4
Idaho,9/14/20,31.2
Illinois,9/14/20,32.6
Indiana,9/14/20,30
Iowa,9/14/20,26.8
Kansas,9/14/20,28.7
Kentucky,9/14/20,34.2
Louisiana,9/14/20,36.8
Maine,9/14/20,29.8
Maryland,9/14/20,29.8
Massachusetts,9/14/20,28.7
Michigan,9/14/20,32.4
Minnesota,9/14/20,26
Mississippi,9/14/20,31.3
Missouri,9/14/20,29
Montana,9/14/20,29.6
Nebraska,9/14/20,25.7
Nevada,9/14/20,32.1
New Hampshire,9/14/20,31.6
New Jersey,9/14/20,30.7
New Mexico,9/14/20,34.7
New York,9/14/20,33.5
North Carolina,9/14/20,27.4
North Dakota,9/14/20,22.2
Ohio,9/14/20,32.1
Oklahoma,9/14/20,34.5
Oregon,9/14/20,36.9
Pennsylvania,9/14/20,29.8
Rhode Island,9/14/20,31.1
South Carolina,9/14/20,27.7
South Dakota,9/14/20,24.7
Tennessee,9/14/20,27.6
Texas,9/14/20,32.6
Utah,9/14/20,29.2
Vermont,9/14/20,30.2
Virginia,9/14/20,29.1
Washington,9/14/20,30.8
West Virginia,9/14/20,33.5
Wisconsin,9/14/20,27.5
Wyoming,9/14/20,29.4
Alabama,9/28/20,30.8
Alaska,9/28/20,29.9
