group,period_end,value
Wyoming,12/7/20,25.1
Alabama,12/21/20,24.8
Alaska,12/21/20,18.4
Arizona,12/21/20,20.1
Arkansas,12/21/20,26.4
California,12/21/20,18.6
Colorado,12/21/20,20.1
Connecticut,12/21/20,21.9
Delaware,12/21/20,21.2
District of Columbia,12/21/20,20.3
Florida,12/21/20,20.8
Georgia,12/21/20,20.6
Hawaii,12/21/20,12.5
Idaho,12/21/20,24.6
Illinois,12/21/20,19.9
Indiana,12/21/20,23.4
Iowa,12/21/20,27.1
Kansas,12/21/20,24.4
Kentucky,12/21/20,28.1
Louisiana,12/21/20,34.2
Maine,12/21/20,27.4
Maryland,12/21/20,19.7
Massachusetts,12/21/20,21.9
Michigan,12/21/20,25.1
Minnesota,12/21/20,24.3
Mississippi,12/21/20,25.8
Missouri,12/21/20,25.5
Montana,12/21/20,28
Nebraska,12/21/20,24.9
Nevada,12/21/20,15.8
New Hampshire,12/21/20,29.2
New Jersey,12/21/20,17.7
New Mexico,12/21/20,18.9
New York,12/21/20,16.9
North Carolina,12/21/20,22.5
North Dakota,12/21/20,21.1
Ohio,12/21/20,21.4
Oklahoma,12/21/20,27.5
Oregon,12/21/20,21.9
Pennsylvania,12/21/20,21.9
Rhode Island,12/21/20,25.5
South Carolina,12/21/20,23.1
South Dakota,12/21/20,18.6
Tennessee,12/21/20,26.4
Texas,12/21/20,22.1
Utah,12/21/20,24.9
Vermont,12/21/20,24.5
Virginia,12/21/20,19.9
Washington,12/21/20,24
West Virginia,12/21/20,29.5
Wisconsin,12/21/20,24.9
Wyoming,12/21/20,23.1
Alabama,1/18/21,22.8
Alaska,1/18/21,19.2
Arizona,1/18/21,19.3
Arkansas,1/18/21,25.1
California,1/18/21,16.9
Colorado,1/18/21,20.9
Connecticut,1/18/21,20.1
Delaware,1/18/21,19.3
District of Columbia,1/18/21,19.8
Florida,1/18/21,20.7
Georgia,1/18/21,21.9
Hawaii,1/18/21,15.7
Idaho,1/18/21,22
Illinois,1/18/21,23.1
Indiana,1/18/21,26.4
Iowa,1/18/21,25.7
Kansas,1/18/21,21.9
Kentucky,1/18/21,25.2
Louisiana,1/18/21,24.6
Maine,1/18/21,24.8
Maryland,1/18/21,21.1
Massachusetts,1/18/21,21.2
Michigan,1/18/21,22
Minnesota,1/18/21,23.5
Mississippi,1/18/21,26.6
Missouri,1/18/21,23.8
Montana,1/18/21,24.7
Nebraska,1/18/21,24.5
Nevada,1/18/21,19.8
New Hampshire,1/18/21,24.2
New Jersey,1/18/21,16.2
New Mexico,1/18/21,15.4
New York,1/18/21,15.1
North Carolina,1/18/21,23.6
North Dakota,1/18/21,22.8
Ohio,1/18/21,19.8
Oklahoma,1/18/21,23.3
Oregon,1/18/21,20.9
Pennsylvania,1/18/21,24.4
Rhode Island,1/18/21,27.7
South Carolina,1/18/21,28.5
South Dakota,1/18/21,20
Tennessee,1/18/21,21.3
Texas,1/18/21,17.3
Utah,1/18/21,24.9
Vermont,1/18/21,20.7
Virginia,1/18/21,20.9
Washington,1/18/21,22.2
West Virginia,1/18/21,25.6
Wisconsin,1/18/21,21.8
Wyoming,1/18/21,20.8
Alabama,2/1/21,24.8
Alaska,2/1/21,17.9
Arizona,2/1/21,23.7
Arkansas,2/1/21,23
California,2/1/21,16.4
Colorado,2/1/21,19.4
Connecticut,2/1/21,21
Delaware,2/1/21,23.6
District of Columbia,2/1/21,20.2
Florida,2/1/21,18.5
Georgia,2/1/21,24.4
Hawaii,2/1/21,11.2
Idaho,2/1/21,25.3
Illinois,2/1/21,20.7
Indiana,2/1/21,27.9
Iowa,2/1/21,24
Kansas,2/1/21,23.4
Kentucky,2/1/21,29.2
Louisiana,2/1/21,25.7
Maine,2/1/21,24.4
Maryland,2/1/21,20.7
Massachusetts,2/1/21,23.8
Michigan,2/1/21,22.8
Minnesota,2/1/21,24.8
Mississippi,2/1/21,23.8
Missouri,2/1/21,25.3
Montana,2/1/21,20.8
Nebraska,2/1/21,21.4
Nevada,2/1/21,16.9
New Hampshire,2/1/21,26.1
New Jersey,2/1/21,20.4
New Mexico,2/1/21,19.9
New York,2/1/21,17.3
North Carolina,2/1/21,18.3
North Dakota,2/1/21,22.7
Ohio,2/1/21,24.5
Oklahoma,2/1/21,27.7
Oregon,2/1/21,23.9
Pennsylvania,2/1/21,26.7
Rhode Island,2/1/21,27.4
South Carolina,2/1/21,22.4
South Dakota,2/1/21,25.1
Tennessee,2/1/21,25
Texas,2/1/21,18.6
Utah,2/1/21,24.9
Vermont,2/1/21,21.3
Virginia,2/1/21,19.5
Washington,2/1/21,20.5
West Virginia,2/1/21,25
Wisconsin,2/1/21,22.8
Wyoming,2/1/21,22.9
Alabama,2/15/21,18.9
Alaska,2/15/21,17.3
Arizona,2/15/21,18.6
Arkansas,2/15/21,27.4
California,2/15/21,14.6
Colorado,2/15/21,18.1
Connecticut,2/15/21,18.7
Delaware,2/15/21,20.3
District of Columbia,2/15/21,20.5
Florida,2/15/21,19.7
Georgia,2/15/21,17.1
Hawaii,2/15/21,12.1
Idaho,2/15/21,22.5
Illinois,2/15/21,23.8
Indiana,2/15/21,25.9
Iowa,2/15/21,24.2
Kansas,2/15/21,21.4
Kentucky,2/15/21,25.5
Louisiana,2/15/21,22.9
Maine,2/15/21,23.7
Maryland,2/15/21,23.2
Massachusetts,2/15/21,23.4
Michigan,2/15/21,23.2
Minnesota,2/15/21,21.5
Mississippi,2/15/21,27.2
Missouri,2/15/21,22.4
Montana,2/15/21,24.6
Nebraska,2/15/21,27.3
Nevada,2/15/21,18.8
New Hampshire,2/15/21,22.9
New Jersey,2/15/21,18.6
New Mexico,2/15/21,24.2
New York,2/15/21,19.4
North Carolina,2/15/21,26.4
North Dakota,2/15/21,20.5
Ohio,2/15/21,20.3
Oklahoma,2/15/21,27.6
Oregon,2/15/21,25.3
Pennsylvania,2/15/21,23
Rhode Island,2/15/21,31.8
South Carolina,2/15/21,22.8
South Dakota,2/15/21,21.3
Tennessee,2/15/21,23.7
Texas,2/15/21,18.8
Utah,2/15/21,24.9
Vermont,2/15/21,25.6
Virginia,2/15/21,22.2
Washington,2/15/21,19.7
West Virginia,2/15/21,29.8
Wisconsin,2/15/21,23.3
Wyoming,2/15/21,18.3
Alabama,3/1/21,22.9
Alaska,3/1/21,17.3
Arizona,3/1/21,19.2
Arkansas,3/1/21,26.9
California,3/1/21,18.6
Colorado,3/1/21,21.3
Connecticut,3/1/21,24.7
Delaware,3/1/21,25.6
District of Columbia,3/1/21,18.5
Florida,3/1/21,17
Georgia,3/1/21,24.5
Hawaii,3/1/21,12.2
Idaho,3/1/21,23.6
Illinois,3/1/21,20.4
Indiana,3/1/21,25.8
Iowa,3/1/21,24.7
Kansas,3/1/21,25.9
Kentucky,3/1/21,27
Louisiana,3/1/21,22.8
Maine,3/1/21,25.1
Maryland,3/1/21,19.1
Massachusetts,3/1/21,24.5
Michigan,3/1/21,22.1
Minnesota,3/1/21,23.4
Mississippi,3/1/21,21.6
Missouri,3/1/21,23.4
Montana,3/1/21,21.2
Nebraska,3/1/21,20.4
Nevada,3/1/21,18.2
New Hampshire,3/1/21,23.4
New Jersey,3/1/21,15.2
New Mexico,3/1/21,22.8
New York,3/1/21,18.4
North Carolina,3/1/21,24.7
North Dakota,3/1/21,26.2
Ohio,3/1/21,22.1
Oklahoma,3/1/21,23.1
Oregon,3/1/21,20.8
Pennsylvania,3/1/21,25.4
Rhode Island,3/1/21,22.6
South Carolina,3/1/21,21.6
South Dakota,3/1/21,19.2
Tennessee,3/1/21,23.3
Texas,3/1/21,19.2
Utah,3/1/21,27.9
Vermont,3/1/21,20.7
Virginia,3/1/21,19.7
Washington,3/1/21,21.5
West Virginia,3/1/21,27.9
Wisconsin,3/1/21,21.6
Wyoming,3/1/21,23.3
Alabama,3/15/21,23.2
Alaska,3/15/21,19.7
Arizona,3/15/21,21.7
Arkansas,3/15/21,29.8
California,3/15/21,18.1
Colorado,3/15/21,25.2
Connecticut,3/15/21,22.8
Delaware,3/15/21,16.7
District of Columbia,3/15/21,20.2
Florida,3/15/21,19.9
Georgia,3/15/21,17.9
Hawaii,3/15/21,11.3
Idaho,3/15/21,22.4
Illinois,3/15/21,19.9
Indiana,3/15/21,23
Iowa,3/15/21,23.8
Kansas,3/15/21,23
Kentucky,3/15/21,25.9
Louisiana,3/15/21,28.1
Maine,3/15/21,26.8
Maryland,3/15/21,20.2
Massachusetts,3/15/21,23.5
Michigan,3/15/21,21.8
Minnesota,3/15/21,22.6
Mississippi,3/15/21,19.3
Missouri,3/15/21,24.4
Montana,3/15/21,21.1
Nebraska,3/15/21,22.8
Nevada,3/15/21,16.4
New Hampshire,3/15/21,21.8
New Jersey,3/15/21,18.7
New Mexico,3/15/21,15.5
New York,3/15/21,20.6
North Carolina,3/15/21,22.9
North Dakota,3/15/21,23.4
Ohio,3/15/21,25
Oklahoma,3/15/21,20.7
Oregon,3/15/21,26
Pennsylvania,3/15/21,23.8
Rhode Island,3/15/21,25
South Carolina,3/15/21,22.9
South Dakota,3/15/21,20.9
Tennessee,3/15/21,23.6
Texas,3/15/21,17.5
Utah,3/15/21,23.4
Vermont,3/15/21,23.8
Virginia,3/15/21,20.2
Washington,3/15/21,22.7
West Virginia,3/15/21,26.1
Wisconsin,3/15/21,21.3
Wyoming,3/15/21,26.6
Alabama,3/29/21,24.4
Alaska,3/29/21,17.6
Arizona,3/29/21,19.3
Arkansas,3/29/21,28.7
California,3/29/21,16.1
Colorado,3/29/21,20.4
Connecticut,3/29/21,22.2
Delaware,3/29/21,17
District of Columbia,3/29/21,18.7
Florida,3/29/21,16.4
Georgia,3/29/21,23.1
Hawaii,3/29/21,11.6
Idaho,3/29/21,21.6
Illinois,3/29/21,19.5
Indiana,3/29/21,24.9
Iowa,3/29/21,22.6
Kansas,3/29/21,22.3
Kentucky,3/29/21,27.3
Louisiana,3/29/21,26.5
Maine,3/29/21,26.9
Maryland,3/29/21,20.3
Massachusetts,3/29/21,20.9
Michigan,3/29/21,25.3
Minnesota,3/29/21,24.1
Mississippi,3/29/21,24.8
