group,period_end,value
New Jersey,12/7/20,9.4
New Mexico,12/7/20,10.2
New York,12/7/20,14.1
North Carolina,12/7/20,8.6
North Dakota,12/7/20,6.3
Ohio,12/7/20,9.7
Oklahoma,12/7/20,6.5
Oregon,12/7/20,11.8
Pennsylvania,12/7/20,10
Rhode Island,12/7/20,12.8
South Carolina,12/7/20,4.4
South Dakota,12/7/20,6.1
Tennessee,12/7/20,9.5
Texas,12/7/20,8.5
Utah,12/7/20,10.6
Vermont,12/7/20,15.8
Virginia,12/7/20,12.5
Washington,12/7/20,11.4
West Virginia,12/7/20,8.7
Wisconsin,12/7/20,10
Wyoming,12/7/20,12.9
Alabama,12/21/20,9.6
Alaska,12/21/20,11.2
Arizona,12/21/20,8.4
Arkansas,12/21/20,9
California,12/21/20,12.1
Colorado,12/21/20,10.6
Connecticut,12/21/20,15.2
Delaware,12/21/20,11.6
District of Columbia,12/21/20,16
Florida,12/21/20,8
Georgia,12/21/20,11.2
Hawaii,12/21/20,8.5
Idaho,12/21/20,10.4
Illinois,12/21/20,10.3
Indiana,12/21/20,8.5
Iowa,12/21/20,10.4
Kansas,12/21/20,9.7
Kentucky,12/21/20,9.8
Louisiana,12/21/20,7.5
Maine,12/21/20,13.1
Maryland,12/21/20,12.4
Massachusetts,12/21/20,15.9
Michigan,12/21/20,11.6
Minnesota,12/21/20,11.6
Mississippi,12/21/20,4.1
Missouri,12/21/20,8.9
Montana,12/21/20,7.4
Nebraska,12/21/20,6.5
Nevada,12/21/20,8
New Hampshire,12/21/20,11.6
New Jersey,12/21/20,9.8
New Mexico,12/21/20,12.4
New York,12/21/20,11.3
North Carolina,12/21/20,8.8
North Dakota,12/21/20,6.6
Ohio,12/21/20,11.4
Oklahoma,12/21/20,8.5
Oregon,12/21/20,13.5
Pennsylvania,12/21/20,9.5
Rhode Island,12/21/20,10.6
South Carolina,12/21/20,7
South Dakota,12/21/20,8.8
Tennessee,12/21/20,9.4
Texas,12/21/20,8.8
Utah,12/21/20,9.4
Vermont,12/21/20,17.2
Virginia,12/21/20,9.5
Washington,12/21/20,10.1
West Virginia,12/21/20,7.3
Wisconsin,12/21/20,8.8
Wyoming,12/21/20,8.6
Alabama,1/18/21,8.4
Alaska,1/18/21,10.8
Arizona,1/18/21,6.7
Arkansas,1/18/21,8
California,1/18/21,10.1
Colorado,1/18/21,12
Connecticut,1/18/21,13.3
Delaware,1/18/21,7.4
District of Columbia,1/18/21,16.9
Florida,1/18/21,8.4
Georgia,1/18/21,7.9
Hawaii,1/18/21,9.4
Idaho,1/18/21,8.4
Illinois,1/18/21,9.8
Indiana,1/18/21,8.1
Iowa,1/18/21,11.8
Kansas,1/18/21,9.1
Kentucky,1/18/21,8.3
Louisiana,1/18/21,10.8
Maine,1/18/21,8.7
Maryland,1/18/21,10.4
Massachusetts,1/18/21,13.3
Michigan,1/18/21,9.5
Minnesota,1/18/21,10.4
Mississippi,1/18/21,8.9
Missouri,1/18/21,9
Montana,1/18/21,10.6
Nebraska,1/18/21,10
Nevada,1/18/21,8.7
New Hampshire,1/18/21,11.1
New Jersey,1/18/21,11.8
New Mexico,1/18/21,7.2
New York,1/18/21,10.4
North Carolina,1/18/21,9.7
North Dakota,1/18/21,5
Ohio,1/18/21,8.4
Oklahoma,1/18/21,8
Oregon,1/18/21,13.9
Pennsylvania,1/18/21,11.2
Rhode Island,1/18/21,14.8
South Carolina,1/18/21,10.9
South Dakota,1/18/21,6
Tennessee,1/18/21,6.6
Texas,1/18/21,7.5
Utah,1/18/21,9.5
Vermont,1/18/21,14.7
Virginia,1/18/21,12.8
Washington,1/18/21,10.1
West Virginia,1/18/21,8.5
Wisconsin,1/18/21,9.8
Wyoming,1/18/21,8.9
Alabama,2/1/21,9.1
Alaska,2/1/21,10.6
Arizona,2/1/21,11.1
Arkansas,2/1/21,8.6
California,2/1/21,9.7
Colorado,2/1/21,10.7
Connecticut,2/1/21,12.4
Delaware,2/1/21,10.1
District of Columbia,2/1/21,14
Florida,2/1/21,7.5
Georgia,2/1/21,9.8
Hawaii,2/1/21,8
Idaho,2/1/21,10.8
Illinois,2/1/21,8.9
Indiana,2/1/21,10
Iowa,2/1/21,8.4
Kansas,2/1/21,6.8
Kentucky,2/1/21,8.8
Louisiana,2/1/21,7.1
Maine,2/1/21,15.3
Maryland,2/1/21,11.3
Massachusetts,2/1/21,15
Michigan,2/1/21,11.4
Minnesota,2/1/21,9.9
Mississippi,2/1/21,4.8
Missouri,2/1/21,8.3
Montana,2/1/21,9.4
Nebraska,2/1/21,10.1
Nevada,2/1/21,8.7
New Hampshire,2/1/21,10.9
New Jersey,2/1/21,11.2
New Mexico,2/1/21,9.4
New York,2/1/21,9.1
North Carolina,2/1/21,10.9
North Dakota,2/1/21,8.6
Ohio,2/1/21,13.2
Oklahoma,2/1/21,11.2
Oregon,2/1/21,11.9
Pennsylvania,2/1/21,10.8
Rhode Island,2/1/21,14.6
South Carolina,2/1/21,7.9
South Dakota,2/1/21,8.2
Tennessee,2/1/21,8.2
Texas,2/1/21,7.8
Utah,2/1/21,11.4
Vermont,2/1/21,17.2
Virginia,2/1/21,9.7
Washington,2/1/21,11
West Virginia,2/1/21,6.7
Wisconsin,2/1/21,9.8
Wyoming,2/1/21,9.9
Alabama,2/15/21,8.1
Alaska,2/15/21,9.1
Arizona,2/15/21,10
Arkansas,2/15/21,11.1
California,2/15/21,9.3
Colorado,2/15/21,10.9
Connecticut,2/15/21,10.5
Delaware,2/15/21,10.1
District of Columbia,2/15/21,20.6
Florida,2/15/21,9.4
Georgia,2/15/21,6.6
Hawaii,2/15/21,6.2
Idaho,2/15/21,8
Illinois,2/15/21,10.7
Indiana,2/15/21,10.6
Iowa,2/15/21,9
Kansas,2/15/21,7.5
Kentucky,2/15/21,10.3
Louisiana,2/15/21,7
Maine,2/15/21,12.1
Maryland,2/15/21,15.8
Massachusetts,2/15/21,13.8
Michigan,2/15/21,10.4
Minnesota,2/15/21,10.9
Mississippi,2/15/21,10.9
Missouri,2/15/21,7.8
Montana,2/15/21,8.1
Nebraska,2/15/21,11.7
Nevada,2/15/21,6.7
New Hampshire,2/15/21,10
New Jersey,2/15/21,11.3
New Mexico,2/15/21,11
New York,2/15/21,13.3
North Carolina,2/15/21,13.7
North Dakota,2/15/21,11
Ohio,2/15/21,7.7
Oklahoma,2/15/21,8.6
Oregon,2/15/21,16.7
Pennsylvania,2/15/21,10.3
Rhode Island,2/15/21,20.2
South Carolina,2/15/21,9.2
South Dakota,2/15/21,6.3
Tennessee,2/15/21,6.6
Texas,2/15/21,10
Utah,2/15/21,10.2
Vermont,2/15/21,17.1
Virginia,2/15/21,10.4
Washington,2/15/21,11.1
West Virginia,2/15/21,12.1
Wisconsin,2/15/21,10
Wyoming,2/15/21,6.4
Alabama,3/1/21,8.9
Alaska,3/1/21,12.6
Arizona,3/1/21,7.5
Arkansas,3/1/21,12.4
California,3/1/21,10.7
Colorado,3/1/21,10.2
Connecticut,3/1/21,16.4
Delaware,3/1/21,12.5
District of Columbia,3/1/21,18.9
Florida,3/1/21,7.7
Georgia,3/1/21,11
Hawaii,3/1/21,10.5
Idaho,3/1/21,11.6
Illinois,3/1/21,11.3
Indiana,3/1/21,8.8
Iowa,3/1/21,11.1
Kansas,3/1/21,10.5
Kentucky,3/1/21,8.4
Louisiana,3/1/21,8.8
Maine,3/1/21,11.5
Maryland,3/1/21,11.9
Massachusetts,3/1/21,18.5
Michigan,3/1/21,11.5
Minnesota,3/1/21,10.7
Mississippi,3/1/21,11.9
Missouri,3/1/21,8
Montana,3/1/21,10.2
Nebraska,3/1/21,6.2
Nevada,3/1/21,8.4
New Hampshire,3/1/21,11.2
New Jersey,3/1/21,9.3
New Mexico,3/1/21,9.3
New York,3/1/21,10.1
North Carolina,3/1/21,10.2
North Dakota,3/1/21,11.1
Ohio,3/1/21,11.1
Oklahoma,3/1/21,8.1
Oregon,3/1/21,12.2
Pennsylvania,3/1/21,11.2
Rhode Island,3/1/21,12.4
South Carolina,3/1/21,8.9
South Dakota,3/1/21,8.6
Tennessee,3/1/21,10.8
Texas,3/1/21,8.6
Utah,3/1/21,15.4
Vermont,3/1/21,11.8
Virginia,3/1/21,10.5
Washington,3/1/21,12.4
West Virginia,3/1/21,8.1
Wisconsin,3/1/21,7.4
Wyoming,3/1/21,10.4
Alabama,3/15/21,9.2
Alaska,3/15/21,9.6
Arizona,3/15/21,10.1
Arkansas,3/15/21,9.2
California,3/15/21,11.7
Colorado,3/15/21,16.7
Connecticut,3/15/21,11.2
Delaware,3/15/21,9.3
District of Columbia,3/15/21,19.7
Florida,3/15/21,9.3
Georgia,3/15/21,7.9
Hawaii,3/15/21,7.3
Idaho,3/15/21,10.9
Illinois,3/15/21,9.5
Indiana,3/15/21,8.4
Iowa,3/15/21,11.3
Kansas,3/15/21,9.9
Kentucky,3/15/21,10.1
Louisiana,3/15/21,11.3
Maine,3/15/21,10.9
Maryland,3/15/21,13.3
Massachusetts,3/15/21,18.5
Michigan,3/15/21,9.8
Minnesota,3/15/21,11.3
Mississippi,3/15/21,4.1
Missouri,3/15/21,8.9
Montana,3/15/21,12.2
Nebraska,3/15/21,10.3
Nevada,3/15/21,8.9
New Hampshire,3/15/21,12.6
New Jersey,3/15/21,11.2
New Mexico,3/15/21,11
New York,3/15/21,12.7
North Carolina,3/15/21,10.4
North Dakota,3/15/21,8.7
Ohio,3/15/21,9.2
Oklahoma,3/15/21,7.5
Oregon,3/15/21,13.7
Pennsylvania,3/15/21,13.1
Rhode Island,3/15/21,14.5
South Carolina,3/15/21,7
South Dakota,3/15/21,5.9
Tennessee,3/15/21,8.6
Texas,3/15/21,7.9
Utah,3/15/21,10.2
Vermont,3/15/21,13.8
Virginia,3/15/21,11.4
Washington,3/15/21,12.3
West Virginia,3/15/21,10.2
Wisconsin,3/15/21,8.3
Wyoming,3/15/21,10.5
Alabama,3/29/21,9.6
Alaska,3/29/21,10.7
Arizona,3/29/21,11
Arkansas,3/29/21,7.6
California,3/29/21,10.4
Colorado,3/29/21,11.4
Connecticut,3/29/21,16
Delaware,3/29/21,8.9
District of Columbia,3/29/21,17
Florida,3/29/21,6.9
Georgia,3/29/21,11.8
Hawaii,3/29/21,8.6
Idaho,3/29/21,8.3
Illinois,3/29/21,10.7
Indiana,3/29/21,8.6
Iowa,3/29/21,9.2
Kansas,3/29/21,10.6
Kentucky,3/29/21,8.1
Louisiana,3/29/21,6.8
Maine,3/29/21,10.5
Maryland,3/29/21,11.5
Massachusetts,3/29/21,14.9
Michigan,3/29/21,12.9
Minnesota,3/29/21,12.3
Mississippi,3/29/21,5.7
Missouri,3/29/21,10.4
