"","region_name","Mean of the Stringency Index","Government_response_mean","containment_health_index","Economic_support_mean","C1_school_closing","C2_workplace_closing","C3_cancel_public_event","C4_restrictions_on_gatherings","C5_close_public_transport","C6_stay_at_home_requirements","C7_movementrestriction","C8_internationaltravel","E1_income_Support","E2_debtrelief","H1_Public_info_campaigns","H2_testing_policy","H3_contact_tracing","H6_facial_coverings","H7_vaccination_policy","H8_protection_of_elderly_people","adults 19-25","adult 26-34","adult 25-34","adults 55-64","Adults Over 65","GDP Growth Rate","Total mean","beforeMean","Anxiety or Depression Diffrenence","Mortality Rate"
"29","New Hampshire",47.0492323651451,49.3721118012423,50.4498752598757,61.2525987525988,1.9149377593361,1.13692946058091,1.03526970954357,0.742738589211618,0.441908713692946,0.989626556016598,1.0954356846473,2.74066390041494,0.898340248962656,0.987551867219917,1.79253112033195,2.40248962655602,1.66182572614108,1.80761099365751,2.57823129251701,1.88981288981289,0.097622027534418,0.143929912390488,0.322903629536921,0.204005006257822,0.23279098873592,0.0547563423873523,66213.0588235294,33.58125,-5.11696428571428,0.000914630797935551
"30","New Jersey",52.7898962655603,55.7019461697722,54.8680873180874,40.213987473904,2.05186721991701,1.46088794926004,1.02904564315353,3.03319502074689,0.240663900414938,1.0207468879668,0.844398340248963,2.74066390041494,1.09958506224066,1.64522821576763,1.77800829875519,2.52697095435685,1.53319502074689,2.19450317124736,2.61904761904762,1.9043659043659,0.106493506493507,0.151948051948052,0.346753246753247,0.180519480519481,0.214285714285714,0.0394847040029396,69530,36.440625,-7.44776785714285,0.00271145095463714
"31","New Mexico",64.4148541666667,59.8330848861284,62.5923799582466,41.8139293139293,1.97291666666667,1.83125,1.64375,3.31875,1.58333333333333,0.84375,1.49375,2.73958333333333,1.10625,0.839583333333333,1.6875,2.52291666666667,1.45833333333333,2.2484076433121,2.64827586206897,2.07098121085595,0.118421052631579,0.153947368421053,0.313157894736842,0.173684210526316,0.240789473684211,0.0481985572962049,45129.3529411765,39.51875,-5.44732142857143,0.00188991151284086
"32","New York",62.2650622406635,64.9043685300205,62.0791476091475,37.7598752598753,2.03941908713693,1.94813278008299,1.49170124481328,3.09128630705394,0.858921161825726,1.0207468879668,1.44398340248963,2.77385892116183,1.68672199170124,1.68879668049793,1.81327800829876,2.4356846473029,1.67634854771784,2.35517970401691,2.63945578231292,2.14968814968815,0.109833971902937,0.171136653895275,0.328224776500639,0.173690932311622,0.215836526181354,0.0459059474553043,70530.1176470588,36.34375,-5.99375,0.00259449168625473
"33","North Carolina",56.9103734439833,54.0728985507245,54.4458627858626,35.3645833333333,1.88589211618257,1.70539419087137,0.975103734439834,2.66597510373444,0.844398340248963,1.17842323651452,1.04356846473029,2.74012474012474,1.10580912863071,1.36099585062241,1.70954356846473,1.68464730290456,1.10995850622407,2.81606765327696,2.29931972789116,1.66528066528067,0.112418300653595,0.154248366013072,0.339869281045752,0.173856209150327,0.220915032679739,0.048702020090428,50482.0588235294,35.209375,-4.58080357142857,0.00117465350550669
"34","North Dakota",40.0873804573807,41.7188819875776,42.5696458333333,55.2215189873418,1.81288981288981,0.93970893970894,0.931392931392931,0.457380457380457,0.108108108108108,0.756756756756757,0.906444906444906,2.74012474012474,0.877338877338877,0.744282744282744,1.79209979209979,1.85654885654886,1.57380457380457,1.40042372881356,2.70547945205479,1.34791666666667,0.135099337748344,0.181456953642384,0.307284768211921,0.16953642384106,0.206622516556291,0.045189921752492,60007.4705882353,29.865625,-1.315625,0.00194680265061693
"35","Ohio",54.3613900414942,53.7235817805381,55.9704989604992,35.3170478170478,2.07883817427386,1.32572614107884,1.19502074688797,3.38796680497925,0.12655601659751,1.07261410788382,0.844398340248963,2.74066390041494,1.10788381742739,0.821576763485477,1.83609958506224,2.36514522821577,1.63485477178423,2.15221987315011,2.80952380952381,1.88149688149688,0.110966057441253,0.155352480417755,0.323759791122715,0.182767624020888,0.227154046997389,0.0432175755192312,52262.4117647059,36.2125,-5.76964285714286,0.00161113941446155
"36","Oklahoma",42.695560165975,43.5440993788821,44.6707068607068,59.0742677824268,2.01244813278008,1.02697095435685,0.970954356846473,1.4149377593361,0.522821576763486,0.906639004149378,0.844398340248963,2.74066390041494,0.863070539419087,0.765560165975104,1.8195020746888,2.50414937759336,0.95850622406639,2.08033826638478,2.69387755102041,1.85031185031185,0.122311827956989,0.165322580645161,0.325268817204301,0.170698924731183,0.21505376344086,0.0337017157096766,49816.4705882353,38.740625,-1.16919642857143,0.00168011696845384
"37","Oregon",54.4150313152403,52.7687784679094,51.7459832635984,51.7819706498952,2.03131524008351,1.70146137787056,1.68893528183716,3.26722338204593,0,1.0062630480167,0.931106471816284,2.73903966597077,1.10647181628392,1.67223382045929,1.7223382045929,1.37369519832985,1.06054279749478,2.14042553191489,2.5625,2.01464435146443,0.106870229007634,0.162849872773537,0.33206106870229,0.16412213740458,0.232824427480916,0.0514953493754062,55351,39.775,-4.93928571428571,0.000579259530109457
"38","Pennsylvania",51.9598535564855,54.191780538302,54.5362683438154,70.6131078224101,2.02092050209205,1.36610878661088,1.26778242677824,2.34518828451883,0.433054393305439,0.989539748953975,1.06066945606695,2.73849372384937,1.07949790794979,1.16317991631799,1.81380753138075,2.14853556485356,1.40376569037657,2.48827292110874,2.58741258741259,2.28301886792453,0.101152368758003,0.157490396927017,0.317541613316261,0.185659411011524,0.23943661971831,0.043017314078537,59498.1764705882,35.56875,-4.88303571428571,0.00197819660960687
